"zip","NPI","index","order","city","state"
"26726","1023001955",1,18015,"Keyser","WV"
"21550","1033103411",2,18002,"Oakland","MD"
"26726","1134120231",3,18012,"Keyser","WV"
"21550","1285627604",4,18003,"Oakland","MD"
"26757","1376535351",5,18031,"Romney","WV"
"26726","1407858335",6,18013,"Keyser","WV"
"21502","1528060928",7,18008,"Cumberland","MD"
"26726","1639124282",8,18016,"Keyser","WV"
"15767","1003000407",9,23910,"Punxsutawney","PA"
"15767","1083601595",10,23912,"Punxsutawney","PA"
"15767","1093791246",11,23913,"Punxsutawney","PA"
"15801","1639394034",12,23904,"Du Bois","PA"
"16214","1669441127",13,11763,"Clarion","PA"
"15931","1720240112",14,23438,"Ebensburg","PA"
"15801","1740239540",15,23900,"Du Bois","PA"
"15825","1740373729",16,23911,"Brookville","PA"
"15801","1780614511",17,23901,"Du Bois","PA"
"15801","1982990115",18,23906,"Du Bois","PA"
"32763","1003000522",19,29091,"Orange City","FL"
"32763","1497976526",20,29092,"Orange City","FL"
"18015","1124087325",21,23033,"Bethlehem","PA"
"18015","1508820523",22,23034,"Bethlehem","PA"
"47172","1003000902",23,18350,"Sellersburg","IN"
"47172","1003845488",24,18351,"Sellersburg","IN"
"47150","1063483402",25,18349,"New Albany","IN"
"47150","1063504207",26,18323,"New Albany","IN"
"47129","1063595452",27,18356,"Clarksville","IN"
"47130","1275553778",28,18354,"Jeffersonville","IN"
"47130","1518063585",29,18355,"Jeffersonville","IN"
"47150","1528097607",30,18344,"New Albany","IN"
"47150","1548470131",31,18335,"New Albany","IN"
"47150","1619961299",32,18343,"New Albany","IN"
"47111","1629020078",33,18352,"Charlestown","IN"
"47250","1659368629",34,18384,"Madison","IN"
"47170","1699749770",35,18382,"Scottsburg","IN"
"47172","1841221009",36,28510,"Sellersburg","IN"
"47111","1902857147",37,18353,"Charlestown","IN"
"46260","1982710547",38,18376,"Indianapolis","IN"
"29512","1093042178",39,35034,"Bennettsville","SC"
"29020","1104011386",40,35052,"Camden","SC"
"29150","1104858489",41,35057,"Sumter","SC"
"29520","1184686875",42,35031,"Cheraw","SC"
"29550","1194757567",43,35055,"Hartsville","SC"
"29550","1255525820",44,35051,"Hartsville","SC"
"29506","1346226453",45,34948,"Florence","SC"
"28139","1497726145",46,31710,"Rutherfordton","NC"
"29550","1508898727",47,35049,"Hartsville","SC"
"29069","1518175777",48,34988,"Lamar","SC"
"29506","1588636161",49,34958,"Florence","SC"
"29550","1609197623",50,35054,"Hartsville","SC"
"29550","1679573422",51,35053,"Hartsville","SC"
"29506","1699848499",52,35007,"Florence","SC"
"29125","1922037191",53,35056,"Pinewood","SC"
"29506","1952530982",54,34954,"Florence","SC"
"29720","1972535342",55,35050,"Lancaster","SC"
"29501","1992966352",56,35058,"Florence","SC"
"61832","1821064213",57,13513,"Danville","IL"
"80045","1245210319",58,4423,"Aurora","CO"
"13031","1366425530",59,22123,"Camillus","NY"
"95758","1154524395",60,4801,"Elk Grove","CA"
"95746","1225253099",61,4811,"Granite Bay","CA"
"95758","1245337344",62,4802,"Elk Grove","CA"
"95825","1437100898",63,4812,"Sacramento","CA"
"95831","1548294267",64,4822,"Sacramento","CA"
"95758","1881918647",65,4798,"Elk Grove","CA"
"95758","1962540575",66,4804,"Elk Grove","CA"
"33774","1508050196",67,29780,"Largo","FL"
"34698","1760471502",68,29676,"Dunedin","FL"
"48532","1003001884",69,19758,"Flint","MI"
"08629","1396075958",70,23341,"Trenton","NJ"
"42301","1013978329",71,18676,"Owensboro","KY"
"77422","1295907525",72,10028,"Brazoria","TX"
"75401","1326044777",73,10026,"Greenville","TX"
"77515","1609850841",74,10024,"Angleton","TX"
"77459","1972595007",75,10027,"Missouri City","TX"
"52806","1598717449",76,5562,"Davenport","IA"
"16142","1194766162",77,23958,"New Wilmington","PA"
"16148","1215990585",78,23954,"Hermitage","PA"
"16146","1295747897",79,23953,"Sharon","PA"
"15312","1326030800",80,23534,"Avella","PA"
"16146","1417909243",81,23951,"Sharon","PA"
"43215","1447320247",82,23944,"Columbus","OH"
"16146","1467419689",83,23955,"Sharon","PA"
"15106","1548227762",84,23429,"Carnegie","PA"
"16148","1558324814",85,23952,"Hermitage","PA"
"15212","1588827828",86,23940,"Pittsburgh","PA"
"15224","1598865503",87,23941,"Pittsburgh","PA"
"15243","1639221823",88,23427,"Pittsburgh","PA"
"19143","1689836769",89,23539,"Philadelphia","PA"
"15212","1700025004",90,23942,"Pittsburgh","PA"
"15221","1801853379",91,23943,"Pittsburgh","PA"
"15222","1942278387",92,24530,"Pittsburgh","PA"
"07002","1225290463",93,22923,"Bayonne","NJ"
"07962","1396761292",94,22928,"Morristown","NJ"
"78652","1417963448",95,11198,"Manchaca","TX"
"78753","1427018969",96,11199,"Austin","TX"
"80601","1588634810",97,4727,"Brighton","CO"
"80634","1952367880",98,4728,"Greeley","CO"
"49412","1225066079",99,21314,"Fremont","MI"
"49304","1265467559",100,21317,"Baldwin","MI"
"11795","1114133626",101,22676,"West Islip","NY"
"11777","1114189073",102,22672,"Port Jefferson","NY"
"11777","1225046279",103,22674,"Port Jefferson","NY"
"11777","1750464673",104,22673,"Port Jefferson","NY"
"75231","1134165988",105,8970,"Dallas","TX"
